id;question;answer;Dutch;trial_1;trial_2;trial_3;frequency;wordlikeness;text;dir;exp
1;mbwa;dog;hond;0,55;0,86;0,93;AA;1;;res/audio/1.mp3;
2;lulu;pearl;parel;0,51;0,83;0,95;47;4;;res/audio/2.mp3;
3;wingu;cloud;wolk;0,42;0,8;0,91;AA;3;;res/audio/3.mp3;
4;iktisadi;economy;economie;0,38;0,69;0,74;21;1;;res/audio/4.mp3;
5;goti;knee;knie;0,36;0,64;0,79;AA;3;;res/audio/5.mp3;
6;yai;egg;ei;0,36;0,76;0,89;AA;2;;res/audio/6.mp3;
7;pombe;beer;bier;0,32;0,62;0,85;23;2;;res/audio/7.mp3;
8;godoro;mattress;matras;0,31;0,58;0,8;10;3;;res/audio/8.mp3;
9;fagio;broom;bezem;0,28;0,56;0,75;13;2;;res/audio/9.mp3;
10;tabibu;doctor;doktor;0,27;0,72;0,74;AA;2;;res/audio/10.mp3;
11;buu;maggot;made;0,26;0,68;0,86;3;1;;res/audio/11.mp3;
12;ndoo;bucket;emmer;0,26;0,59;0,79;16;1;;res/audio/12.mp3;
13;nyanya;tomato;tomaat;0,26;0,65;0,85;11;2;;res/audio/13.mp3;
14;sumu;poison;gif;0,26;0,52;0,74;42;3;;res/audio/14.mp3;
15;roho;soul;ziel;0,24;0,62;0,76;AA;2;;res/audio/15.mp3;
16;chakula;food;voedsel;0,23;0,57;0,72;AA;3;;res/audio/16.mp3;
17;kaa;crab;krab;0,22;0,65;0,87;16;1;;res/audio/17.mp3;
18;maiti;corpse;lijk;0,22;0,58;0,74;9;3;;res/audio/18.mp3;
19;farasi;horse;paard;0,21;0,5;0,69;AA;2;;res/audio/19.mp3;
20;leso;scarf;sjaal;0,21;0,47;0,67;14;3;;res/audio/20.mp3;
21;hariri;silk;zijde;0,20;0,52;0,7;A;2;;res/audio/21.mp3;
22;malkia;queen;koningin;0,20;0,51;0,74;AA;3;;res/audio/22.mp3;
23;rembo;ornament;ornament;0,20;0,49;0,76;30;3;;res/audio/23.mp3;
24;zulia;carpet;tapijt;0,20;0,48;0,75;24;3;;res/audio/24.mp3;
25;pipa;barrel;vat;0,19;0,54;0,73;32;3;;res/audio/25.mp3;
26;fununu;rumor;gerucht;0,18;0,49;0,7;18;3;;res/audio/26.mp3;
27;pazia;curtain;gordijn;0,18;0,39;0,59;A;3;;res/audio/27.mp3;
28;theluji;snow;sneeuw;0,18;0,56;0,74;AA;2;;res/audio/28.mp3;
29;tumbili;monkey;aap;0,18;0,56;0,77;23;2;;res/audio/29.mp3;
30;vuke;steam;stoom;0,18;0,57;0,72;A;3;;res/audio/30.mp3;
31;wasaa;leisure;ruim;0,18;0,54;0,75;19;2;;res/audio/31.mp3;
32;kaburi;grave;graf;0,17;0,56;0,7;A;2;;res/audio/32.mp3;
